epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4767.08,1.35857,1.08345,1.16785,0.63051,0.35477,0.40892,0.23451,1.53707,1.3172,1.25801,0.000197992,0.000197992,0.000197992
75,4831.39,1.35963,1.07375,1.18148,0.72231,0.29315,0.38176,0.20646,1.53147,1.3075,1.26969,0.000190924,0.000190924,0.000190924
76,4894.92,1.3674,1.07874,1.1713,0.6658,0.33152,0.36532,0.1936,1.53853,1.31935,1.27238,0.000183855,0.000183855,0.000183855
77,4958.63,1.35551,1.08302,1.17113,0.61641,0.37122,0.3756,0.19899,1.55345,1.26613,1.26499,0.000176786,0.000176786,0.000176786
78,5022.34,1.36236,1.05874,1.17177,0.70089,0.32741,0.43083,0.24029,1.53864,1.31331,1.28295,0.000169718,0.000169718,0.000169718
79,5085.91,1.31717,1.05305,1.16057,0.71742,0.31653,0.4016,0.21905,1.55788,1.2612,1.26897,0.000162649,0.000162649,0.000162649
80,5149.47,1.34168,1.04069,1.16693,0.67304,0.36615,0.39633,0.20998,1.54084,1.33872,1.27561,0.000155581,0.000155581,0.000155581
81,5212.88,1.32731,1.01136,1.16249,0.72594,0.3304,0.42995,0.2352,1.5283,1.31396,1.27915,0.000148512,0.000148512,0.000148512
82,5276.78,1.36271,1.07246,1.17795,0.69497,0.33059,0.36419,0.19121,1.53238,1.35202,1.27621,0.000141443,0.000141443,0.000141443
83,5340.37,1.33067,1.03722,1.17282,0.62769,0.39294,0.36887,0.19801,1.5337,1.36117,1.26834,0.000134375,0.000134375,0.000134375
84,5404.06,1.33387,1.01533,1.16089,0.5457,0.39885,0.37727,0.20386,1.52799,1.34839,1.27001,0.000127306,0.000127306,0.000127306
85,5467.71,1.32889,1.01542,1.16169,0.73894,0.32211,0.38464,0.2034,1.54466,1.35796,1.28227,0.000120238,0.000120238,0.000120238
86,5531.27,1.32435,1.0326,1.15794,0.65328,0.35535,0.38103,0.20293,1.55174,1.2948,1.29162,0.000113169,0.000113169,0.000113169
87,5594.96,1.31494,1.01898,1.15579,0.66287,0.33606,0.36876,0.1915,1.5701,1.30472,1.28621,0.0001061,0.0001061,0.0001061
88,5658.78,1.31509,0.97753,1.15494,0.61831,0.38523,0.36998,0.19136,1.55496,1.35666,1.27714,9.90318e-05,9.90318e-05,9.90318e-05
